Average Weekday Subway Ridership,,,,,,,,,,,,
Station (alphabetical by borough),Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,,2013 Rank,
"President St (2,5) ",B,"3,365","3,492","3,469","3,731","3,754","3,815","3,969",+154,+4.0%,330,
Prospect Av (R) ,B,"5,774","6,042","6,008","6,006","6,230","6,147","5,934",-213,-3.5%,254,
"Prospect Park (B,Q,S) ",B,"8,322","8,675","8,641","8,496","8,557","9,024","9,761",+737,+8.2%,161,
Ralph Av (C) ,B,"4,531","4,721","4,617","4,840","5,007","5,175","5,381",+206,+4.0%,275,
Rockaway Av (3) ,B,"5,616","5,828","5,699","5,729","5,715","5,636","5,632",-4,-0.1%,267,
Rockaway Av (C) ,B,"4,633","4,889","4,786","4,815","4,971","5,089","5,137",+48,+0.9%,283,
Saratoga Av (3) ,B,"5,421","5,572","5,472","5,529","5,662","5,697","5,807",+110,+1.9%,260,
"Sheepshead Bay (B,Q) ",B,"14,429","14,899","14,670","14,969","13,716","14,083","14,010",-73,-0.5%,108,
Shepherd Av (C) ,B,"2,913","3,076","2,939","2,917","2,968","3,034","3,149",+115,+3.8%,363,
"Smith-9 Sts (F,G) ",B,"4,097","4,464","4,579","4,763","1,834",0,"2,854","+2,854",,373,
"Sterling St (2,5) ",B,"5,326","5,417","5,315","5,597","5,755","5,899","5,915",+16,+0.3%,255,
Sutter Av (L) ,B,"3,265","3,556","3,766","4,050","4,201","4,437","4,555",+118,+2.7%,309,
Sutter Av-Rutland Rd (3) ,B,"7,325","7,495","7,259","7,461","7,621","7,713","7,831",+118,+1.5%,192,
Union St (R) ,B,"6,317","6,581","6,591","6,738","7,010","6,935","6,528",-407,-5.9%,231,
"Utica Av (A,C) ",B,"13,367","14,057","13,515","13,584","13,977","14,327","14,673",+346,+2.4%,104,
Van Siclen Av (3) ,B,"2,937","3,090","3,124","3,302","3,415","3,431","3,431",+0,+0.0%,351,
Van Siclen Av (C) ,B,"2,646","2,903","2,763","2,829","2,854","2,864","2,974",+110,+3.8%,365,
"Van Siclen Av (J,Z) ",B,"2,265","2,437","2,550","2,615","2,765","2,829","2,883",+54,+1.9%,370,
"West 8 St-New York Aquarium (F,Q) ",B,"2,146","2,333","2,302","2,506","2,478","2,285","2,069",-216,-9.5%,396,
Wilson Av (L) ,B,"3,036","3,354","3,357","3,400","3,532","3,566","3,865",+299,+8.4%,334,
"Winthrop St (2,5) ",B,"6,581","6,862","6,854","7,185","7,409","7,524","7,639",+115,+1.5%,197,
York St (F) ,B,"5,131","5,894","6,077","6,621","7,426","7,798","8,629",+831,+10.7%,182,
Manhattan,,,,,,,,,,,,
1 Av (L) ,M,"17,358","19,203","20,006","21,157","22,039","22,436","23,467","+1,031",+4.6%,56,
103 St (1) ,M,"13,353","13,573","13,409","12,968","13,292","13,557","13,500",-57,-0.4%,113,
103 St (6) ,M,"13,897","14,500","14,663","15,210","15,673","15,721","16,189",+468,+3.0%,89,
"103 St (B,C) ",M,"4,778","4,961","4,736","4,782","4,562","4,659","4,760",+101,+2.2%,300,
110 St (6) ,M,"10,973","11,320","11,425","11,630","11,836","11,908","12,162",+254,+2.1%,129,
"116 St (2,3) ",M,"9,522","9,968","10,190","10,227","10,627","11,100","11,508",+408,+3.7%,138,
116 St (6) ,M,"13,994","14,698","14,899","15,655","16,206","16,514","16,675",+161,+1.0%,82,
"116 St (B,C) ",M,"5,331","5,752","5,745","5,945","6,153","6,328","6,594",+266,+4.2%,226,
116 St-Columbia University (1) ,M,"15,657","15,939","15,891","15,808","16,130","16,283","16,363",+80,+0.5%,87,
125 St (1) ,M,"7,126","7,380","7,221","7,243","7,468","7,857","7,995",+138,+1.8%,190,
"125 St (2,3) ",M,"13,075","13,810","14,207","13,878","14,101","14,471","15,351",+880,+6.1%,96,
"125 St (4,5,6) ",M,"26,282","27,433","27,704","27,990","28,341","28,913","29,425",+512,+1.8%,34,
"125 St (A,B,C,D) ",M,"23,402","24,566","24,404","24,584","25,084","26,276","27,395","+1,119",+4.3%,40,
"135 St (2,3) ",M,"12,158","12,505","12,676","13,031","13,641","14,120","14,690",+570,+4.0%,103,
