,GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000,popchange,percent,k-means label
207,36005025200,140,36,5,35620,408,0.0,0.0,Census Tract 252,2530.0,1032,2417.0,1006,2530,2417,113,4.675217211419114,0
208,36005025300,140,36,5,35620,408,0.0,0.0,Census Tract 253,6332.0,1989,6402.0,2034,6332,6402,-70,-1.0934083099031553,0
209,36005025400,140,36,5,35620,408,0.0,0.0,Census Tract 254,1959.0,876,1886.0,869,1959,1886,73,3.870625662778367,0
210,36005025500,140,36,5,35620,408,0.0,0.0,Census Tract 255,6529.0,2194,6567.0,2176,6529,6567,-38,-0.5786508299071114,0
211,36005025600,140,36,5,35620,408,0.0,0.0,Census Tract 256,1663.0,702,1727.0,702,1663,1727,-64,-3.7058482918355526,0
212,36005027600,140,36,5,35620,408,0.0,0.0,Census Tract 276,473.0,218,7.0,0,473,7,466,6657.142857142857,2
213,36005025700,140,36,5,35620,408,0.0,0.0,Census Tract 257,1912.0,684,1635.0,589,1912,1635,277,16.941896024464832,0
214,36005026100,140,36,5,35620,408,0.0,0.0,Census Tract 261,1932.0,1049,1517.0,859,1932,1517,415,27.356624917600524,0
215,36005026300,140,36,5,35620,408,0.0,0.0,Census Tract 263,6984.0,2339,7978.0,3074,6984,7978,-994,-12.459262973176234,0
216,36005026400,140,36,5,35620,408,0.0,0.0,Census Tract 264,4935.0,2162,4798.0,2091,4935,4798,137,2.855356398499375,0
217,36005026500,140,36,5,35620,408,0.0,0.0,Census Tract 265,6942.0,2114,6724.0,2016,6942,6724,218,3.2421177870315288,0
218,36005026601,140,36,5,35620,408,0.0,0.0,Census Tract 266.01,2911.0,1450,3003.0,1451,2911,3003,-92,-3.063603063603064,0
219,36005026602,140,36,5,35620,408,0.0,0.0,Census Tract 266.02,5301.0,2696,5266.0,2659,5301,5266,35,0.664641093809343,0
220,36005026702,140,36,5,35620,408,0.0,0.0,Census Tract 267.02,7040.0,2489,6961.0,2499,7040,6961,79,1.1348944117224538,0
221,36005026900,140,36,5,35620,408,0.0,0.0,Census Tract 269,3777.0,1427,4098.0,1534,3777,4098,-321,-7.833089311859444,0
222,36005027401,140,36,5,35620,408,0.0,0.0,Census Tract 274.01,4785.0,1950,4971.0,1906,4785,4971,-186,-3.7417018708509353,0
223,36005027402,140,36,5,35620,408,0.0,0.0,Census Tract 274.02,3386.0,1413,3517.0,1381,3386,3517,-131,-3.7247654250781914,0
224,36005027700,140,36,5,35620,408,0.0,0.0,Census Tract 277,5065.0,1844,5339.0,1853,5065,5339,-274,-5.13204719985016,0
225,36005027900,140,36,5,35620,408,0.0,0.0,Census Tract 279,6966.0,2972,7182.0,2878,6966,7182,-216,-3.007518796992481,0
226,36005028100,140,36,5,35620,408,0.0,0.0,Census Tract 281,3794.0,1790,3824.0,1980,3794,3824,-30,-0.7845188284518828,0
227,36005028300,140,36,5,35620,408,0.0,0.0,Census Tract 283,3149.0,1357,2507.0,1065,3149,2507,642,25.608296769046667,0
228,36005028400,140,36,5,35620,408,0.0,0.0,Census Tract 284,894.0,67,852.0,24,894,852,42,4.929577464788732,0
229,36005028500,140,36,5,35620,408,0.0,0.0,Census Tract 285,3307.0,1698,3238.0,1642,3307,3238,69,2.1309450277949353,0
230,36005028600,140,36,5,35620,408,0.0,0.0,Census Tract 286,1191.0,540,1268.0,546,1191,1268,-77,-6.072555205047318,0
231,36005028700,140,36,5,35620,408,0.0,0.0,Census Tract 287,3178.0,1265,3159.0,1270,3178,3159,19,0.6014561570117125,0
232,36005028800,140,36,5,35620,408,0.0,0.0,Census Tract 288,3097.0,1273,3066.0,1268,3097,3066,31,1.0110893672537506,0
233,36005029301,140,36,5,35620,408,0.0,0.0,Census Tract 293.01,1875.0,994,1996.0,1004,1875,1996,-121,-6.0621242484969935,0
234,36005029302,140,36,5,35620,408,0.0,0.0,Census Tract 293.02,5052.0,2884,5372.0,2905,5052,5372,-320,-5.956813104988831,0
235,36005029700,140,36,5,35620,408,0.0,0.0,Census Tract 297,3554.0,1884,3638.0,1697,3554,3638,-84,-2.308960967564596,0
236,36005030000,140,36,5,35620,408,0.0,0.0,Census Tract 300,5838.0,2759,5862.0,2786,5838,5862,-24,-0.4094165813715456,0
237,36005030100,140,36,5,35620,408,0.0,0.0,Census Tract 301,1304.0,621,1510.0,628,1304,1510,-206,-13.642384105960264,0
238,36005030200,140,36,5,35620,408,0.0,0.0,Census Tract 302,8887.0,4258,8864.0,4334,8887,8864,23,0.2594765342960289,0
239,36005030900,140,36,5,35620,408,0.0,0.0,Census Tract 309,3891.0,1461,3648.0,1471,3891,3648,243,6.661184210526317,0
240,36005031000,140,36,5,35620,408,0.0,0.0,Census Tract 310,4415.0,1339,4284.0,1215,4415,4284,131,3.0578898225957047,0
241,36005031200,140,36,5,35620,408,0.0,0.0,Census Tract 312,1524.0,614,1569.0,652,1524,1569,-45,-2.8680688336520075,0
242,36005031400,140,36,5,35620,408,0.0,0.0,Census Tract 314,1966.0,689,2024.0,714,1966,2024,-58,-2.8656126482213438,0
243,36005031600,140,36,5,35620,408,0.0,0.0,Census Tract 316,1863.0,658,1779.0,713,1863,1779,84,4.721753794266442,0
244,36005031800,140,36,5,35620,408,0.0,0.0,Census Tract 318,1810.0,646,1795.0,642,1810,1795,15,0.8356545961002786,0
245,36005031900,140,36,5,35620,408,0.0,0.0,Census Tract 319,751.0,0,7.0,0,751,7,744,10628.57142857143,1
246,36005032300,140,36,5,35620,408,0.0,0.0,Census Tract 323,4904.0,2866,5176.0,2874,4904,5176,-272,-5.255023183925812,0
247,36005032400,140,36,5,35620,408,0.0,0.0,Census Tract 324,2957.0,1293,2826.0,1267,2957,2826,131,4.635527246992215,0
248,36005032600,140,36,5,35620,408,0.0,0.0,Census Tract 326,3154.0,1169,3203.0,1189,3154,3203,-49,-1.5298157976896658,0
249,36005032800,140,36,5,35620,408,0.0,0.0,Census Tract 328,3979.0,1479,3937.0,1485,3979,3937,42,1.0668021336042672,0
250,36005033000,140,36,5,35620,408,0.0,0.0,Census Tract 330,5696.0,2200,5111.0,2122,5696,5111,585,11.44590099784778,0
251,36005033201,140,36,5,35620,408,0.0,0.0,Census Tract 332.01,4115.0,1946,4019.0,1838,4115,4019,96,2.3886538940034834,0
252,36005033202,140,36,5,35620,408,0.0,0.0,Census Tract 332.02,4167.0,1672,4069.0,1578,4167,4069,98,2.408454165642664,0
253,36005033400,140,36,5,35620,408,0.0,0.0,Census Tract 334,1351.0,624,224.0,85,1351,224,1127,503.125,3
254,36005033500,140,36,5,35620,408,0.0,0.0,Census Tract 335,2178.0,810,2103.0,837,2178,2103,75,3.566333808844508,0
255,36005033600,140,36,5,35620,408,0.0,0.0,Census Tract 336,6188.0,2639,6138.0,2589,6188,6138,50,0.8145975887911373,0
256,36005033800,140,36,5,35620,408,0.0,0.0,Census Tract 338,3818.0,1452,3848.0,1451,3818,3848,-30,-0.7796257796257797,0
257,36005034000,140,36,5,35620,408,0.0,0.0,Census Tract 340,4618.0,1814,4360.0,1763,4618,4360,258,5.917431192660551,0
258,36005034200,140,36,5,35620,408,0.0,0.0,Census Tract 342,1675.0,640,1533.0,613,1675,1533,142,9.262883235485974,0
259,36005034500,140,36,5,35620,408,0.0,0.0,Census Tract 345,3566.0,1764,3499.0,1604,3566,3499,67,1.914832809374107,0
260,36005034800,140,36,5,35620,408,0.0,0.0,Census Tract 348,6129.0,2180,5991.0,2165,6129,5991,138,2.303455182774161,0
261,36005035000,140,36,5,35620,408,0.0,0.0,Census Tract 350,1925.0,701,1896.0,713,1925,1896,29,1.529535864978903,0
262,36005035100,140,36,5,35620,408,0.0,0.0,Census Tract 351,3186.0,1170,3366.0,1182,3186,3366,-180,-5.347593582887701,0
263,36005035600,140,36,5,35620,408,0.0,0.0,Census Tract 356,2027.0,702,2020.0,719,2027,2020,7,0.34653465346534656,0
