,lines_x,stations_x,Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,12/13 %,2013 Rank,07/13 Change,7/13 %,index,lines_y,stations_y,3,4,k-means label
61,G ,21 St ,Q,959.0,1001.0,1015.0,1050.0,1123.0,1478.0,1309.0,-169.0,-11.4%,409.0,350.0,36.496350364963504,21StG,G,21St,40.744065,-73.949724,3
62,F ,21St ,Q,7065.0,7374.0,7602.0,8365.0,8678.0,8749.0,8761.0,12.0,+0.1%,180.0,1696.0,24.005661712668083,21StF,F,21St,40.754203,-73.942836,3
63,1 ,215 St ,M,1444.0,1824.0,1979.0,1949.0,2006.0,1996.0,2078.0,82.0,+4.1%,394.0,634.0,43.905817174515235,215St1,1,215St,40.869444,-73.915279,3
64,25 ,219 St ,Bx,2727.0,2982.0,3049.0,3261.0,3337.0,3413.0,3483.0,70.0,+2.1%,350.0,756.0,27.722772277227726,219St25,25,219St,40.883895,-73.862633,3
65,25 ,225 St ,Bx,3493.0,3798.0,3841.0,4104.0,4346.0,4469.0,4479.0,10.0,+0.2%,315.0,986.0,28.227884340108787,225St25,25,225St,40.888022,-73.860341,3
66,1 ,23 St ,M,14948.0,14766.0,14338.0,14379.0,14663.0,14931.0,15283.0,352.0,+2.4%,97.0,335.0,2.241102488627241,23St1,1,23St,40.744081,-73.995657,0
67,6 ,23 St ,M,31527.0,32018.0,30908.0,30929.0,31206.0,31053.0,31777.0,724.0,+2.3%,32.0,250.0,0.7929711041329655,23St6,6,23St,40.739864,-73.986599,0
68,CE ,23 St ,M,21799.0,22749.0,22061.0,21934.0,22900.0,23572.0,24782.0,1210.0,+5.1%,50.0,2983.0,13.684113950181201,23StCE,CE,23St,40.745906,-73.998041,0
69,FM ,23 St ,M,25706.0,25917.0,24407.0,25100.0,27049.0,27977.0,28749.0,772.0,+2.8%,35.0,3043.0,11.837703259939314,23StFM,FM,23St,40.742878,-73.992821,0
70,NR ,23 St ,M,18853.0,19695.0,19065.0,20007.0,22080.0,22981.0,22760.0,-221.0,-1.0%,61.0,3907.0,20.723492282395377,23StNR,NR,23St,40.741303,-73.989344,3
71,1 ,231 St ,Bx,8095.0,8670.0,8428.0,8680.0,9170.0,9187.0,8951.0,-236.0,-2.6%,177.0,856.0,10.574428659666461,231St1,1,231St,40.878856,-73.904834,0
72,25 ,233 St ,Bx,4437.0,4834.0,4870.0,5179.0,5379.0,5388.0,5473.0,85.0,+1.6%,272.0,1036.0,23.34910975884607,233St25,25,233St,40.893193,-73.857473,3
73,1 ,238 St ,Bx,3551.0,3681.0,3492.0,3514.0,3019.0,3612.0,3598.0,-14.0,-0.4%,346.0,47.0,1.3235708251196845,238St1,1,NereidAve,40.884667,-73.90087,0
74,D ,25 Ave ,B,4272.0,4445.0,4304.0,4318.0,4220.0,4046.0,4607.0,561.0,+13.9%,306.0,335.0,7.841760299625468,25AveD,D,25Ave,40.597704,-73.986829,0
75,R ,25 St ,B,3786.0,3859.0,3736.0,3812.0,3915.0,3820.0,3821.0,1.0,+0.0%,336.0,35.0,0.9244585314315901,25StR,R,25St,40.660397,-73.998091,0
76,1 ,28 St ,M,12388.0,12601.0,12752.0,13179.0,13634.0,14597.0,15149.0,552.0,+3.8%,99.0,2761.0,22.287697772037458,28St1,1,28St,40.747215,-73.993365,3
77,6 ,28 St ,M,22323.0,22750.0,22042.0,22274.0,22794.0,22715.0,23696.0,981.0,+4.3%,53.0,1373.0,6.150606997267392,28St6,6,28St,40.74307,-73.984264,0
78,NR ,28 St ,M,9719.0,9965.0,9657.0,10003.0,10894.0,11502.0,11607.0,105.0,+0.9%,135.0,1888.0,19.425866858730323,28StNR,NR,28St,40.745494,-73.988691,3
79,L ,3 Ave ,M,5241.0,5605.0,5815.0,6123.0,6278.0,6532.0,6803.0,271.0,+4.1%,220.0,1562.0,29.80347261972906,3AveL,L,3Ave,40.732849,-73.986122,3
80,6 ,3 Ave-138 St ,Bx,6447.0,6878.0,6894.0,6985.0,7238.0,7326.0,7667.0,341.0,+4.7%,196.0,1220.0,18.92353032418179,3Ave-138St6,6,3Ave-138St,40.810476,-73.926138,3
81,25 ,3 Ave-149 St ,Bx,22824.0,23859.0,24096.0,23955.0,24022.0,24580.0,24001.0,-579.0,-2.4%,51.0,1177.0,5.156852436032247,3Ave-149St25,25,3Ave-149St,40.816109,-73.917757,0
82,NQ ,30 Ave ,Q,13433.0,13781.0,13430.0,13791.0,13774.0,14515.0,14802.0,287.0,+2.0%,101.0,1369.0,10.191319883868086,30AveNQ,NQ,30Ave,40.766779,-73.921479,0
83,6 ,33 St ,M,31292.0,31883.0,30129.0,30497.0,31181.0,31877.0,32783.0,906.0,+2.8%,31.0,1491.0,4.7647961140227535,33St6,6,33St,40.746081,-73.982076,0
84,7 ,33 St ,Q,12734.0,13147.0,13405.0,13660.0,13587.0,13985.0,14246.0,261.0,+1.9%,107.0,1512.0,11.873723888801633,33St7,7,33St,40.744587,-73.930997,0
85,BDFMNQR ,34 St ,M,124651.0,126117.0,119202.0,120764.0,121081.0,121120.0,122517.0,1397.0,+1.2%,3.0,-2134.0,-1.7119798477348755,34StBDFMNQR,BDFMNQR,34St,40.749719,-73.987823,0
86,123 ,34 St ,M,91169.0,92750.0,88520.0,87736.0,87482.0,88929.0,90042.0,1113.0,+1.3%,5.0,-1127.0,-1.2361658019721615,34St123,123,34St,40.750373,-73.991057,0
87,ACE ,34 St ,M,83450.0,85542.0,79875.0,80009.0,81585.0,82511.0,83717.0,1206.0,+1.5%,6.0,267.0,0.3199520671060515,34StACE,ACE,34St,40.752287,-73.993391,0
